Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D_3_5_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,5,7082019,13:43,0.3,14.24,182.4,53.2,35.2,17.3,22.291,20190710,-85.9,8.343712788,
D_4_5_BC,4,Phyllospadix,Day,Before,Control,Before_Control,5,7082019,13:49,0.3,9.92,133.5,55.3,36.6,19.3,24.025,20190710,-84.7,8.307461607,
D_5_5_BC,5,Phyllospadix,Day,Before,Control,Before_Control,5,7082019,13:54,0.3,7.77,110.2,54,35.8,22.4,23.287,20190710,-76.2,8.169665082,
D_6_5_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,5,7082019,14:00,0.2,9.88,129.2,52.7,34.6,18.1,24.547,20190710,-75.9,8.153740273,
D_7_5_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,5,7082019,14:02,0.2,10.8,129.9,52.4,34.6,16.1,22.138,20190710,-67.7,8.034493925,
D_8_5_BC,8,Phyllospadix,Day,Before,Control,Before_Control,5,7082019,14:05,0.8,9.54,132.7,54.5,36.3,21.6,22.979,20190710,-63.9,7.962987131,
D_9_5_BC,9,Mytilus,Day,Before,Control,Before_Control,5,7082019,14:21,1.8,7.77,100.5,55.2,36.6,18.9,21.732,20190710,-27.8,7.355875333,
D_10_5_BC,10,Mytilus,Day,Before,Removal,Before_Removal,5,7082019,14:23,1.8,7.93,102.9,53.8,35.7,18,21.053,20190710,-31,7.414642396,
D_11_5_BC,11,Mytilus,Day,Before,Removal,Before_Removal,5,7082019,14:26,1.7,4.85,64,54.5,36.1,19.5,21.044,20190710,-23.5,7.286216187,
D_12_5_BC,12,Mytilus,Day,Before,Control,Before_Control,5,7082019,14:19,1.8,13.34,193.8,52.5,34.6,24.2,24.042,20190710,-64.9,7.971540883,
