Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
D_14_4_AI,72.2,17.74,240,310
D_15_4_AI,51.4,5.7,37,45
D_16_4_AI,59.2,7.74,448,124.6
D2_Ocean_4_AI,34.6,1.142,224,38.6
D_17_4_AI,86.4,13.2,91.4,154.4
D_18_4_AI,45.2,-0.376,108.8,180.6
D_19_4_AI,80.4,15.9,204,266
D_20_4_AI,43.4,-3.28,81.6,117.2
D_21_4_AI,37.6,-2.65,28.4,109.4
D_22_4_AI,35,-2.12,33,104
D_23_4_AI,39.8,20.9,211,160.8
D_24_4_AI,35,-0.468,83.6,119
D_25_4_AI,148,26,390,612
D_26_4_AI,38.2,11.96,96.4,117.8
D_27_4_AI,51.4,8.42,146,172.6
D_28_4_AI,37,0.378,37.4,111
D_29_4_AI,31.6,3.8,52.7,105
D_30_4_AI,246,103.4,892,4560
D_31_4_AI,111.6,29,392,386
D_32_4_AI,55,6.86,188,93
N2_Ocean_1_AI,32,8.78,73.8,66.2
N_1_1_AI,18.68,8.51,128,27.6
N_2_1_AI,26,7.1,49.8,38
N_3_1_AI,28,6.94,45.6,47.4
N_4_1_AI,27.6,3.18,61.2,91
N_5_1_AI,26.8,-0.641,27,59.6
N_6_1_AI,85.4,11.5,54.2,19.6
N_7_1_AI,28.2,1.778,23,48.4
N_8_1_AI,32.5,-1.62,50.5,93.4
N_9_1_AI,62.6,10.54,126.2,312
N_10_1_AI,92.4,14.72,200,272
N_11_1_AI,32.2,9.8,123,153
N_12_1_AI,60.4,11.56,130.4,276
N_13_1_AI,65.6,8.64,129,376
N_14_1_AI,45.4,3.82,110,318
N_15_1_AI,177,47.5,273,6.93
N_16_1_AI,57,15.1,305,194.2
N1_Ocean_1_AI,33.8,1.382,230,24
N_17_1_AI,36.2,10.9,82.6,98.8
N_18_1_AI,47.6,6.82,168.6,176.6
N_19_1_AI,61.8,7.92,186.6,174.6
N_20_1_AI,49.4,4.74,112.6,118.4
N_21_1_AI,41,7.52,130,109.8
N_22_1_AI,35.8,-1.83,108.6,97.6
N_23_1_AI,36.2,17.5,355,66
N_24_1_AI,133,11.8,268,12.2
N_25_1_AI,59.6,6.5,202,195.8
N_26_1_AI,28.6,8.1,195,42
N_27_1_AI,36.6,5.56,130.8,66.2
N_28_1_AI,37,8.44,148.2,39.6
N_29_1_AI,53.9,-0.055,158,41.2
N_30_1_AI,84.4,22,266,336
N_31_1_AI,147.4,25.4,526,578
N_32_1_AI,50.2,19.02,224,99
N2_Ocean_2_AI,27.4,3.5,73.6,45.4
N_1_2_AI,26.6,3.41,56.2,74.6
N_2_2_AI,24.8,11.96,45.2,62
N_3_2_AI,29.4,6.4,43.8,48.6
N_4_2_AI,25.2,14.14,38.8,104.2
N_5_2_AI,25.2,-0.325,18.64,28.6
N_6_2_AI,19.8,17.9,45.1,64.8
N_7_2_AI,29.8,-0.128,38.6,74
N_8_2_AI,39.5,-1.04,27.8,72.3
N_9_2_AI,56.4,16.96,133.4,334
N_10_2_AI,129.8,31.6,290,366
N_11_2_AI,47.8,6.68,147.8,198.4
N_12_2_AI,65.6,18.14,173.2,394
N_13_2_AI,96.6,14.54,156.6,736
N_14_2_AI,87,16.2,182.4,492
N_15_2_AI,34.6,16.14,77.8,92.4
N_16_2_AI,52.6,21.5,298,192.6
N1_Ocean_2_AI,30.4,2.14,193,86.4
N_17_2_AI,49.8,16.82,108.2,120.4
N_18_2_AI,43.8,2.24,131.2,164
N_19_2_AI,61.6,13.76,175,154.4
N_20_2_AI,39.4,6.28,115,45.2
N_21_2_AI,45.4,12.24,108.8,127.4
N_22_2_AI,35.2,0.1534,86.4,79.6
N_23_2_AI,35.6,14.5,275,69.2
N_24_2_AI,20.4,7.52,114.4,104.4
N_25_2_AI,77.4,13.2,238,292
N_26_2_AI,37,17.02,160.2,137
N_27_2_AI,49.8,4.46,112.8,85.8
N_28_2_AI,22,8,66.8,30.6
N_29_2_AI,66.4,4.82,97.8,127
N_30_2_AI,210,90.2,748,686
N_31_2_AI,179.4,31,450,576
N_32_2_AI,46.4,27.8,198.6,79
N2_Ocean_3_AI,35.2,14,90.6,56.8
N_1_3_AI,23.2,5.13,83.2,62.4
N_2_3_AI,24.6,13.44,40.6,77
N_3_3_AI,32.4,15.64,44.6,55.6
N_4_3_AI,22.8,6.78,29.8,95.2
N_5_3_AI,26.4,0.23,22.4,36
N_6_3_AI,22,42.1,59.4,65.2
N_7_3_AI,37.2,3.42,15.2,88.2
N_8_3_AI,38.5,-0.144,52.4,61.9
N_9_3_AI,62.8,12.32,83.4,314
N_10_3_AI,149.8,46.4,356,426
N_11_3_AI,49,18.8,165.2,230
N_12_3_AI,69,16.44,184.8,374
N_13_3_AI,81.4,13.9,155.6,498
N_14_3_AI,92.6,21.2,173.8,506
N_15_3_AI,39.2,27.6,86,103.4
N_16_3_AI,65.4,18.4,257,210
N1_Ocean_3_AI,34.6,10.72,224,32
N_17_3_AI,48.4,21.4,108.2,129.6
N_18_3_AI,42.6,2.96,122,154.2
N_19_3_AI,66,8.92,165.8,192.6
N_20_3_AI,#N/A,#N/A,#N/A,#N/A
N_21_3_AI,31.2,8.11,86.8,158.6
N_22_3_AI,38.2,3.14,69.8,127.2
N_23_3_AI,46.2,25.6,325,126
